EntryID,Ecosystem,Common Name,Scientific Name,Count,Year
10012797,Wetland,Knapweed,Senecio vulgaris,412,2012
10028051,Agricultural Field,Groundsel,Setaria faberi,242,2008
10065340,Grassland,Lambsquarters,Ambrosia artemisiifolia,179,2002
10003235,Agricultural Field,Bindweed,Setaria faberi,281,2005
10057117,Grassland,Clover,Cyperus esculentus,351,1995
10036856,Wetland,Bindweed,Chenopodium album,414,2022
10088345,Wetland,Henbit,Taraxacum officinale,488,2007
10057369,Forest,Lambsquarters,Setaria faberi,469,2020
10061074,Forest,Goosegrass,Lamium amplexicaule,406,1993
10036539,Forest,Chickweed,Chenopodium album,402,2005
10005138,Urban,Lambsquarters,Senecio vulgaris,95,2013
10040628,Grassland,Thistle,Digitaria sanguinalis,267,2002
10084548,Wetland,Quackgrass,Eleusine indica,82,1995
10015068,Wetland,Foxtail,Cyperus esculentus,172,2021
10096224,Agricultural Field,Plantain,Stellaria media,479,2014
10071765,Forest,Ragweed,Stellaria media,101,1993
10037514,Urban,Foxtail,Cyperus esculentus,382,2021
10089016,Wetland,Crabgrass,Rumex crispus,380,2013
10022826,Forest,Foxtail,Eleusine indica,250,2022
10028259,Forest,Pigweed,Cirsium arvense,324,2010
10031107,Agricultural Field,Bermudagrass,Taraxacum officinale,333,2005
10075694,Forest,Chickweed,Cyperus esculentus,389,2022
10064387,Wetland,Ragweed,Stellaria media,163,1996
10083858,Urban,Chickweed,Cirsium arvense,454,2011
10057578,Agricultural Field,Plantain,Ambrosia artemisiifolia,470,2006
10041800,Forest,Bermudagrass,Setaria faberi,99,1995
10093164,Agricultural Field,Quackgrass,Plantago major,389,1995
10034899,Grassland,Milkweed,Ambrosia artemisiifolia,96,1992
10077685,Forest,Thistle,Senecio vulgaris,350,1993
10070386,Agricultural Field,Dock,Senecio vulgaris,407,1997
10029774,Forest,Crabgrass,Elymus repens,12,1996
10060752,Wetland,Clover,Elymus repens,417,2005
10088876,Urban,Chickweed,Setaria faberi,33,1993
10096953,Forest,Bermudagrass,Cynodon dactylon,42,2019
10030926,Forest,Knapweed,Amaranthus retroflexus,381,2019
10079511,Urban,Henbit,Setaria faberi,48,2008
10038288,Urban,Groundsel,Chenopodium album,431,2005
10045445,Agricultural Field,Bermudagrass,Convolvulus arvensis,175,2020
10014717,Agricultural Field,Bindweed,Senecio vulgaris,152,2013
10071746,Grassland,Bermudagrass,Convolvulus arvensis,80,1992
10005963,Urban,Lambsquarters,Eleusine indica,110,2014
10043007,Agricultural Field,Dandelion,Cyperus esculentus,465,2021
10088454,Wetland,Clover,Rumex crispus,187,2013
10070620,Agricultural Field,Chickweed,Rumex crispus,277,2023
10003495,Grassland,Bermudagrass,Senecio vulgaris,32,1995
10014460,Forest,Ragweed,Elymus repens,264,2021
10029056,Forest,Lambsquarters,Asclepias syriaca,334,2006
10051494,Agricultural Field,Pigweed,Convolvulus arvensis,360,2009
10077859,Grassland,Groundsel,Rumex crispus,252,2008
10042362,Forest,Quackgrass,Cirsium arvense,233,1994
10088534,Agricultural Field,Lambsquarters,Trifolium repens,442,1992
10054323,Wetland,Lambsquarters,Senecio vulgaris,89,2010
10026339,Forest,Clover,Cyperus esculentus,11,2014
10093821,Wetland,Knapweed,Chenopodium album,217,2020
10000926,Forest,Bermudagrass,Centaurea stoebe,311,2003
10009816,Forest,Plantain,Convolvulus arvensis,344,2016
10083249,Grassland,Lambsquarters,Rumex crispus,103,2017
10091990,Wetland,Henbit,Asclepias syriaca,304,2017
10075585,Agricultural Field,Bermudagrass,Lamium amplexicaule,400,2020
10008214,Wetland,Bindweed,Ambrosia artemisiifolia,428,2011
10036536,Grassland,Chickweed,Asclepias syriaca,221,1991
10020013,Forest,Goosegrass,Eleusine indica,87,1993
10041839,Urban,Bermudagrass,Amaranthus retroflexus,435,1993
10052575,Urban,Milkweed,Digitaria sanguinalis,385,2000
10071207,Forest,Nutsedge,Lamium amplexicaule,7,2023
10024190,Agricultural Field,Quackgrass,Lamium amplexicaule,499,1994
10051953,Forest,Ragweed,Plantago major,155,2013
10041002,Agricultural Field,Clover,Stellaria media,356,2006
10086458,Wetland,Milkweed,Cirsium arvense,435,2000
10052597,Grassland,Milkweed,Taraxacum officinale,439,2010
10006520,Forest,Bindweed,Eleusine indica,315,2018
10057631,Wetland,Milkweed,Convolvulus arvensis,404,2014
10087314,Wetland,Chickweed,Centaurea stoebe,6,1997
10056518,Grassland,Foxtail,Lamium amplexicaule,377,2005
10058141,Grassland,Ragweed,Taraxacum officinale,261,2017
10035016,Agricultural Field,Groundsel,Cynodon dactylon,184,1990
10042273,Forest,Bindweed,Convolvulus arvensis,470,1997
10090879,Grassland,Henbit,Taraxacum officinale,181,1994
10083777,Agricultural Field,Quackgrass,Chenopodium album,64,2013
10005491,Forest,Ragweed,Senecio vulgaris,78,2022
10096290,Grassland,Clover,Ambrosia artemisiifolia,464,1992
10058698,Urban,Clover,Lamium amplexicaule,457,2002
10042357,Urban,Chickweed,Ambrosia artemisiifolia,54,2017
10086551,Agricultural Field,Foxtail,Plantago major,175,1992
10093021,Forest,Groundsel,Convolvulus arvensis,126,1993
10056439,Wetland,Knapweed,Cirsium arvense,161,1992
10070414,Wetland,Bermudagrass,Cynodon dactylon,274,2004
10035448,Wetland,Pigweed,Setaria faberi,494,1995
10030686,Grassland,Crabgrass,Ambrosia artemisiifolia,363,2012
10027392,Urban,Foxtail,Cirsium arvense,394,2005
10011871,Wetland,Pigweed,Convolvulus arvensis,399,2002
10085462,Grassland,Foxtail,Digitaria sanguinalis,66,2005
10054609,Forest,Bermudagrass,Digitaria sanguinalis,63,1997
10095802,Urban,Thistle,Lamium amplexicaule,384,1997
10062757,Agricultural Field,Lambsquarters,Taraxacum officinale,117,2021
10088091,Grassland,Thistle,Stellaria media,100,1997
10056364,Urban,Bermudagrass,Digitaria sanguinalis,389,2016
10057539,Forest,Clover,Stellaria media,8,2017
10032558,Agricultural Field,Nutsedge,Convolvulus arvensis,191,2022
10067418,Agricultural Field,Foxtail,Taraxacum officinale,268,2016
10028343,Urban,Crabgrass,Plantago major,461,2011
10020908,Grassland,Thistle,Cirsium arvense,190,2013
10013315,Wetland,Bindweed,Centaurea stoebe,133,2004
10030403,Urban,Milkweed,Trifolium repens,434,1992
10049053,Wetland,Dock,Cyperus esculentus,205,1999
10032389,Agricultural Field,Plantain,Rumex crispus,259,2001
10056198,Urban,Groundsel,Plantago major,449,1993
