WeedID,Block_ID,Common Name,Scientific Name,Count
10012797,Block 5,Knapweed,Senecio vulgaris,412
10028051,Block 2,Groundsel,Setaria faberi,242
10065340,Block 1,Lambsquarters,Ambrosia artemisiifolia,179
10003235,Block 1,Bindweed,Setaria faberi,281
10057117,Block 3,Clover,Cyperus esculentus,351
10036856,Block 2,Bindweed,Chenopodium album,414
10088345,Block 5,Henbit,Taraxacum officinale,488
10057369,Block 4,Lambsquarters,Setaria faberi,469
10061074,Block 4,Goosegrass,Lamium amplexicaule,406
10036539,Block 3,Chickweed,Chenopodium album,402
10005138,Block 3,Lambsquarters,Senecio vulgaris,95
10040628,Block 4,Thistle,Digitaria sanguinalis,267
10084548,Block 3,Quackgrass,Eleusine indica,82
10015068,Block 1,Foxtail,Cyperus esculentus,172
10096224,Block 5,Plantain,Stellaria media,479
10071765,Block 1,Ragweed,Stellaria media,101
10037514,Block 2,Foxtail,Cyperus esculentus,382
10089016,Block 4,Crabgrass,Rumex crispus,380
10022826,Block 3,Foxtail,Eleusine indica,250
10028259,Block 2,Pigweed,Cirsium arvense,324
10031107,Block 1,Bermudagrass,Taraxacum officinale,333
10075694,Block 1,Chickweed,Cyperus esculentus,389
10064387,Block 4,Ragweed,Stellaria media,163
10083858,Block 5,Chickweed,Cirsium arvense,454
10057578,Block 4,Plantain,Ambrosia artemisiifolia,470
10041800,Block 5,Bermudagrass,Setaria faberi,99
10093164,Block 4,Quackgrass,Plantago major,389
10034899,Block 3,Milkweed,Ambrosia artemisiifolia,96
10077685,Block 5,Thistle,Senecio vulgaris,350
10070386,Block 5,Dock,Senecio vulgaris,407
10029774,Block 5,Crabgrass,Elymus repens,12
10060752,Block 4,Clover,Elymus repens,417
10088876,Block 2,Chickweed,Setaria faberi,33
10096953,Block 3,Bermudagrass,Cynodon dactylon,42
10030926,Block 1,Knapweed,Amaranthus retroflexus,381
10079511,Block 1,Henbit,Setaria faberi,48
10038288,Block 1,Groundsel,Chenopodium album,431
10045445,Block 5,Bermudagrass,Convolvulus arvensis,175
10014717,Block 4,Bindweed,Senecio vulgaris,152
10071746,Block 4,Bermudagrass,Convolvulus arvensis,80
10005963,Block 1,Lambsquarters,Eleusine indica,110
10043007,Block 3,Dandelion,Cyperus esculentus,465
10088454,Block 4,Clover,Rumex crispus,187
10070620,Block 1,Chickweed,Rumex crispus,277
10003495,Block 5,Bermudagrass,Senecio vulgaris,32
10014460,Block 3,Ragweed,Elymus repens,264
10029056,Block 5,Lambsquarters,Asclepias syriaca,334
10051494,Block 1,Pigweed,Convolvulus arvensis,360
10077859,Block 1,Groundsel,Rumex crispus,252
10042362,Block 2,Quackgrass,Cirsium arvense,233
10088534,Block 5,Lambsquarters,Trifolium repens,442
10054323,Block 4,Lambsquarters,Senecio vulgaris,89
10026339,Block 3,Clover,Cyperus esculentus,11
10093821,Block 4,Knapweed,Chenopodium album,217
10000926,Block 4,Bermudagrass,Centaurea stoebe,311
10009816,Block 4,Plantain,Convolvulus arvensis,344
10083249,Block 4,Lambsquarters,Rumex crispus,103
10091990,Block 2,Henbit,Asclepias syriaca,304
